Player,Team,Venue,Category,Market,n,n_venue,mu_all,mu_blend,s2_blend,narrative_mult,mu_adj,s2_adj,p_base,p_final,Odds,Implied,Fair_Odds,EV_pct,Line,Model
M. Jacob,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,3,0,2.6667,2.6667,14.3333,1.0,2.6667,14.3333,0.463235,0.463235,1.72,0.581395,2.1587,-20.3237,2,NegBin
J. Lundstram,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,16,0,1.5625,1.5625,1.5725,1.0,1.5625,1.5725,0.789342,0.789342,1.06,0.943396,1.2669,-16.3297,1,NegBin
J. Lundstram,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,16,0,1.5625,1.5625,1.5725,1.0,1.5625,1.5725,0.462283,0.462283,1.36,0.735294,2.1632,-37.1295,2,NegBin
Y. Hirakawa,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,7,0,1.8571,1.8571,2.4762,1.0,1.8571,2.4762,0.798668,0.798668,1.11,0.900901,1.2521,-11.3478,1,NegBin
Y. Hirakawa,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,7,0,1.8571,1.8571,2.4762,1.0,1.8571,2.4762,0.518241,0.518241,1.53,0.653595,1.9296,-20.7091,2,NegBin
L. Millar,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,27,0,1.5185,1.5185,2.1823,1.0,1.5185,2.1823,0.716281,0.716281,1.11,0.900901,1.3961,-20.4928,1,NegBin
L. Millar,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,27,0,1.5185,1.5185,2.1823,1.0,1.5185,2.1823,0.416499,0.416499,1.53,0.653595,2.401,-36.2757,2,NegBin
S. Ajayi,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,12,0,1.25,1.25,1.26,1.0,1.25,1.26,0.712067,0.712067,1.14,0.877193,1.4044,-18.8244,1,NegBin
S. Ajayi,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,12,0,1.25,1.25,1.26,1.0,1.25,1.26,0.355007,0.355007,1.72,0.581395,2.8168,-38.9389,2,NegBin
C. Hughes,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,22,0,1.2727,1.2727,1.2827,1.0,1.2727,1.2827,0.718537,0.718537,1.08,0.925926,1.3917,-22.398,1,NegBin
C. Hughes,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,22,0,1.2727,1.2727,1.2827,1.0,1.2727,1.2827,0.363103,0.363103,1.44,0.694444,2.754,-47.7131,2,NegBin
