"Player","Category","Market","Odds","Team","League"
"Y. Hirakawa","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.11","hull-city","championship"
"Y. Hirakawa","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","1.57","hull-city","championship"
"A. Famewo","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.90","hull-city","championship"
"A. Famewo","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","6.00","hull-city","championship"
"L. Millar","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.50","hull-city","championship"
"L. Millar","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.40","hull-city","championship"
"L. Coyle","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.36","hull-city","championship"
"L. Coyle","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.62","hull-city","championship"
"P. James Coleman McNair","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.72","hull-city","championship"
"P. James Coleman McNair","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","4.33","hull-city","championship"
"S. Ajayi","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.57","hull-city","championship"
"S. Ajayi","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.75","hull-city","championship"
"J. Gelhardt","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.08","hull-city","championship"
"J. Gelhardt","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","1.44","hull-city","championship"
"R. Slater","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.36","hull-city","championship"
"R. Slater","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.62","hull-city","championship"
"A. Hadziahmetovic","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.40","hull-city","championship"
"A. Hadziahmetovic","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.75","hull-city","championship"
"C. Hughes","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.57","hull-city","championship"
"C. Hughes","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.75","hull-city","championship"
"J. Egan","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.40","hull-city","championship"
"J. Egan","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.75","hull-city","championship"
"K. Joseph","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.30","hull-city","championship"
"K. Joseph","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.37","hull-city","championship"
"D. Gyabi","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.40","hull-city","championship"
"D. Gyabi","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.75","hull-city","championship"
"M. Jacob","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.36","hull-city","championship"
"M. Jacob","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.62","hull-city","championship"
"C. Drameh","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.83","hull-city","championship"
"C. Drameh","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","5.00","hull-city","championship"
"C. McCarthy","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.72","hull-city","championship"
"C. McCarthy","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","4.33","hull-city","championship"
"M. Crooks","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.57","hull-city","championship"
"M. Crooks","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.75","hull-city","championship"
"T. Collyer","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.50","hull-city","championship"
"T. Collyer","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.40","hull-city","championship"
"M. Belloumi","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.22","hull-city","championship"
"M. Belloumi","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.00","hull-city","championship"
