Bookmaker,Market,Context,Stat,Label,Side,Line,Odds,Implied,n,mu_emp,s2_emp,mu_prior,s2_prior,mu_post,s2_post,Model,p_final,Fair_Odds,EV_pct,Expr,Source,Params
Bet365,CORNERS,Both Teams Combined,Corners,12 Corners,Under,12.0,1.57,0.6369426751592356,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.6305078368681658,1.5860231095098856,-1.010269611697967,P(Under 12) = P(X ≤ 11) = CDF(11),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,13 Corners,Over,13.0,4.0,0.25,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.20653630426409442,4.841763793358659,-17.385478294362233,P(Over 13) = P(X ≥ 14) = 1-CDF(13),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,13 Corners,Exactly,13.0,11.0,0.09090909090909091,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.07439309607859405,13.442107570620939,-18.16759431354654,P(Exactly 13) = PMF(13),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,13 Corners,Under,13.0,1.36,0.7352941176470588,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.7190705996573111,1.390684030853955,-2.206398446605684,P(Under 13) = P(X ≤ 12) = CDF(12),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,14 Corners,Over,14.0,6.0,0.16666666666666666,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.14703246078640164,6.801219231804392,-11.780523528159016,P(Over 14) = P(X ≥ 15) = 1-CDF(14),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,14 Corners,Exactly,14.0,13.0,0.07692307692307693,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.05950384347769285,16.805637107708613,-22.645003478999293,P(Exactly 14) = PMF(14),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,14 Corners,Under,14.0,1.22,0.819672131147541,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.7934636957359056,1.2602971066906097,-3.1974291202195193,P(Under 14) = P(X ≤ 13) = CDF(13),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,15 Corners,Over,15.0,9.0,0.1111111111111111,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.10150828082046082,9.851413026772807,-8.642547261585264,P(Over 15) = P(X ≥ 16) = 1-CDF(15),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,15 Corners,Exactly,15.0,15.0,0.06666666666666667,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.04552417996594049,21.966348449289214,-31.71373005108926,P(Exactly 15) = PMF(15),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,15 Corners,Under,15.0,1.12,0.8928571428571428,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.8529675392135984,1.1723775572068775,-4.46763560807697,P(Under 15) = P(X ≤ 14) = CDF(14),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
